,name,rating,genre,rating_count,duration,description
32,Gisaengchung,8.5,"Drama, Thriller",997348,2H12M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
33,Psycho,8.5,"Horror, Mystery, Thriller",731737,1H49M,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
34,Gladiator,8.5,"Action, Adventure, Drama",1661840,2H35M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
35,The Lion King,8.5,"Animation, Adventure, Drama",1165582,1H28M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
36,Spider-Man: Across the Spider-Verse,8.6,"Animation, Action, Adventure",406028,2H20M,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ..."
37,The Departed,8.5,"Crime, Drama, Thriller",1446938,2H31M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
38,Whiplash,8.5,"Drama, Music",1021549,1H46M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.
39,American History X,8.5,"Crime, Drama",1204162,1H59M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot..."
40,Hotaru no haka,8.5,"Animation, Drama, War",323158,1H28M,A young boy and his little sister struggle to survive in Japan during World War II.
41,Léon,8.5,"Action, Crime, Drama",1268499,1H50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade."
42,The Prestige,8.5,"Drama, Mystery, Sci-Fi",1469531,2H10M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
43,Seppuku,8.6,"Action, Drama, Mystery",72095,2H13M,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity."
44,The Usual Suspects,8.5,"Crime, Drama, Mystery",1162061,1H46M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
45,Casablanca,8.5,"Drama, Romance, War",614925,1H42M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
46,Dune: Part Two,8.5,"Action, Adventure, Drama",525268,2H46M,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
47,Intouchables,8.5,"Comedy, Drama",947415,1H52M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
48,Nuovo Cinema Paradiso,8.5,"Drama, Romance",288882,2H54M,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
49,Modern Times,8.5,"Comedy, Drama, Romance",263881,1H27M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
50,Alien,8.5,"Horror, Sci-Fi",983325,1H57M,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
51,Rear Window,8.5,"Mystery, Thriller",531497,1H52M,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
52,C&apos;era una volta il West,8.5,"Drama, Western",354326,2H46M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Django Unchained,8.5,"Comedy, Drama, Western",1732365,2H45M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
54,City Lights,8.5,"Comedy, Drama, Romance",199322,1H27M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
55,Apocalypse Now,8.4,"Drama, Mystery, War",722036,2H27M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
56,Memento,8.4,"Mystery, Thriller",1344228,1H53M,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
57,WALL·E,8.4,"Animation, Adventure, Family",1224187,1H38M,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
58,Raiders of the Lost Ark,8.4,"Action, Adventure",1050729,1H55M,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
59,12th Fail,8.8,"Biography, Drama",130633,2H27M,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
60,Das Leben der Anderen,8.4,"Drama, Mystery, Thriller",415315,2H17M,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
61,Sunset Blvd.,8.4,"Drama, Film-Noir",240616,1H50M,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
62,Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",1236659,2H29M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
63,Paths of Glory,8.4,"Drama, War",217372,1H28M,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
64,Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",694734,1H57M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
65,Witness for the Prosecution,8.4,"Crime, Drama, Mystery",141235,1H56M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
66,The Shining,8.4,"Drama, Horror",1130429,2H26M,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
67,The Great Dictator,8.4,"Comedy, Drama, War",240955,2H5M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.
68,Aliens,8.4,"Action, Adventure, Sci-Fi",786242,2H17M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
69,Inglourious Basterds,8.4,"Adventure, Drama, War",1620455,2H33M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same."
70,The Dark Knight Rises,8.4,"Action, Drama, Thriller",1860766,2H44M,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
71,Coco,8.4,"Animation, Adventure, Drama",614354,1H45M,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
72,Amadeus,8.4,"Biography, Drama, Music",435366,2H40M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him."
73,Toy Story,8.3,"Animation, Adventure, Comedy",1089205,1H21M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,"Comedy, War",525911,1H35M,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
75,Oldeuboi,8.3,"Action, Drama, Mystery",651922,2H,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
76,American Beauty,8.3,Drama,1225703,2H2M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.
77,Avengers: Endgame,8.4,"Action, Adventure, Drama",1301775,3H1M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe."
78,Das Boot,8.4,"Drama, War",268099,2H29M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
79,Braveheart,8.3,"Biography, Drama, War",1106062,2H58M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
80,Good Will Hunting,8.3,"Drama, Romance",1095820,2H6M,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
81,Mononoke-hime,8.3,"Animation, Action, Adventure",443878,2H13M,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
82,Joker,8.4,"Crime, Drama, Thriller",1543573,2H2M,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
83,Kimi no na wa.,8.4,"Animation, Drama, Fantasy",334815,1H46M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
84,Tengoku to jigoku,8.4,"Crime, Drama, Mystery",55469,2H23M,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.
85,3 Idiots,8.4,"Comedy, Drama",444111,2H50M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;."
86,Once Upon a Time in America,8.3,"Crime, Drama",383922,3H49M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
87,Singin&apos; in the Rain,8.3,"Comedy, Musical, Romance",265264,1H43M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
88,Capharnaüm,8.4,Drama,109515,2H6M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
89,Idi i smotri,8.4,"Drama, Thriller, War",102147,2H22M,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
90,Requiem for a Dream,8.3,Drama,915141,1H42M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
91,Toy Story 3,8.3,"Animation, Adventure, Comedy",907532,1H43M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home."
92,Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",1139075,2H11M,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
93,Eternal Sunshine of the Spotless Mind,8.3,"Drama, Romance, Sci-Fi",1097836,1H48M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
94,Jagten,8.3,Drama,372994,1H55M,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li..."
95,2001: A Space Odyssey,8.3,"Adventure, Sci-Fi",732393,2H29M,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
96,Ikiru,8.3,Drama,90061,2H23M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
97,Reservoir Dogs,8.3,"Crime, Thriller",1106998,1H39M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
98,Lawrence of Arabia,8.3,"Adventure, Biography, Drama",320397,3H47M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
99,The Apartment,8.3,"Comedy, Drama, Romance",200736,2H5M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
100,Incendies,8.3,"Drama, Mystery, War",210938,2H11M,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.
101,Scarface,8.3,"Crime, Drama",935443,2H50M,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction."
